證券代碼	簡稱	年月日	日報酬率 %
COID	Name	MDATE	ROIA
2303   	聯電         	19910328	   6.9588
2603   	長榮         	19910328	   6.8376
2809   	京城銀       	19910328	   0.0000
1102   	亞泥         	19910401	   6.7669
1434   	福懋         	19910401	   6.1224
1605   	華新         	19910401	   6.5401
2303   	聯電         	19910401	   6.9880
2603   	長榮         	19910401	   6.9333
2809   	京城銀       	19910401	   1.0638
1102   	亞泥         	19910402	   0.0000
1434   	福懋         	19910402	  -6.1538
1605   	華新         	19910402	   6.9307
2303   	聯電         	19910402	   5.6306
2603   	長榮         	19910402	   6.9825
2809   	京城銀       	19910402	  -1.0526
1102   	亞泥         	19910403	   3.5211
1434   	福懋         	19910403	   3.4836
1605   	華新         	19910403	   1.8519
2303   	聯電         	19910403	   2.5586
2603   	長榮         	19910403	   2.3310
2809   	京城銀       	19910403	   2.1277
1102   	亞泥         	19910408	   0.6803
1434   	福懋         	19910408	  -3.9604
1605   	華新         	19910408	  -1.8182
2303   	聯電         	19910408	  -1.2474
2603   	長榮         	19910408	  -5.4670
2809   	京城銀       	19910408	   0.5208
1102   	亞泥         	19910409	   0.0000
1434   	福懋         	19910409	   2.6804
1605   	華新         	19910409	   1.8519
2303   	聯電         	19910409	   5.0526
2603   	長榮         	19910409	   4.5783
2809   	京城銀       	19910409	  -0.5181
1102   	亞泥         	19910410	  -1.3514
1434   	福懋         	19910410	  -1.6064
1605   	華新         	19910410	   0.0000
2303   	聯電         	19910410	   3.2064
2603   	長榮         	19910410	  -1.1521
2809   	京城銀       	19910410	   0.0000
1102   	亞泥         	19910411	   2.7397
1434   	福懋         	19910411	   2.0408
1605   	華新         	19910411	   2.7273
2303   	聯電         	19910411	   0.9709
2603   	長榮         	19910411	   6.9930
2809   	京城銀       	19910411	   0.0000
1102   	亞泥         	19910412	  -0.6667
1434   	福懋         	19910412	   2.0000
1605   	華新         	19910412	  -2.6549
2303   	聯電         	19910412	  -1.9231
2603   	長榮         	19910412	   1.0893
2809   	京城銀       	19910412	   4.1667
1102   	亞泥         	19910413	  -0.6711
1434   	福懋         	19910413	  -1.9608
1605   	華新         	19910413	   0.9091
2303   	聯電         	19910413	  -2.1569
2603   	長榮         	19910413	  -1.2931
2809   	京城銀       	19910413	  -1.5000
1102   	亞泥         	19910415	  -1.3514
1434   	福懋         	19910415	  -2.2000
1605   	華新         	19910415	  -3.6036
2303   	聯電         	19910415	  -2.4048
2603   	長榮         	19910415	  -3.9301
2809   	京城銀       	19910415	   4.0609
1102   	亞泥         	19910416	  -6.8493
1434   	福懋         	19910416	  -5.9305
1605   	華新         	19910416	  -6.9159
2303   	聯電         	19910416	  -6.9815
2603   	長榮         	19910416	  -6.8182
2809   	京城銀       	19910416	  -6.8293
1102   	亞泥         	19910417	   2.2059
1434   	福懋         	19910417	   3.6957
1605   	華新         	19910417	   3.4137
2303   	聯電         	19910417	   4.4150
2603   	長榮         	19910417	   4.1463
2809   	京城銀       	19910417	   2.0942
1102   	亞泥         	19910418	   4.3165
1434   	福懋         	19910418	   6.9182
1605   	華新         	19910418	   4.8544
2303   	聯電         	19910418	   3.1712
2603   	長榮         	19910418	   4.9180
2809   	京城銀       	19910418	   4.1026
1102   	亞泥         	19910419	   0.0000
1434   	福懋         	19910419	  -1.9608
1605   	華新         	19910419	  -1.8519
2303   	聯電         	19910419	  -3.0738
2603   	長榮         	19910419	  -0.6696
2809   	京城銀       	19910419	   6.8966
1102   	亞泥         	19910420	   0.6897
1434   	福懋         	19910420	   1.0000
1605   	華新         	19910420	   1.8868
2303   	聯電         	19910420	   0.4228
2603   	長榮         	19910420	   3.3708
2809   	京城銀       	19910420	  -3.2258
1102   	亞泥         	19910422	   0.0000
1434   	福懋         	19910422	  -0.9901
1605   	華新         	19910422	   0.9259
2303   	聯電         	19910422	   0.4211
2603   	長榮         	19910422	   6.9565
2809   	京城銀       	19910422	   4.2857
1102   	亞泥         	19910423	   0.0000
1434   	福懋         	19910423	  -2.0000
1605   	華新         	19910423	  -2.7523
2303   	聯電         	19910423	  -0.4193
2603   	長榮         	19910423	   1.6260
2809   	京城銀       	19910423	  -2.7397
1102   	亞泥         	19910424	   0.0000
1434   	福懋         	19910424	   3.0612
1605   	華新         	19910424	   6.6038
2303   	聯電         	19910424	  -0.2105
2603   	長榮         	19910424	   7.0000
2809   	京城銀       	19910424	   1.4085
1102   	亞泥         	19910425	  -0.6849
1434   	福懋         	19910425	   0.9901
1605   	華新         	19910425	   0.0000
2303   	聯電         	19910425	   0.2110
2603   	長榮         	19910425	   0.9346
2809   	京城銀       	19910425	   2.3148
1102   	亞泥         	19910426	   0.6897
1434   	福懋         	19910426	   3.9216
1605   	華新         	19910426	  -0.8850
2303   	聯電         	19910426	   0.0000
2603   	長榮         	19910426	  -3.7037
2809   	京城銀       	19910426	   0.9050
1102   	亞泥         	19910427	   2.7397
1434   	福懋         	19910427	  -0.9434
1605   	華新         	19910427	  -1.7857
2303   	聯電         	19910427	   1.6842
2603   	長榮         	19910427	   3.8462
2809   	京城銀       	19910427	  -0.8969
1102   	亞泥         	19910429	   0.0000
1434   	福懋         	19910429	  -6.6667
1605   	華新         	19910429	  -4.5455
2303   	聯電         	19910429	  -6.2112
2603   	長榮         	19910429	  -1.8519
2809   	京城銀       	19910429	  -4.0724
1102   	亞泥         	19910430	   3.4247
1434   	福懋         	19910430	   2.0408
1605   	華新         	19910430	   2.8571
2303   	聯電         	19910430	   5.9603
2603   	長榮         	19910430	   2.8302
